name,danceability,loudness,speechiness,acousticness,liveness
Everyday People,0.813,-8.203,0.0294,0.245,0.113
Expedition,0.639,-4.13,0.057,0.00288,0.349
Faces,0.368,-3.464,0.0566,3.44E-05,0.317
Falling,0.567,-6.502,0.0299,0.839,0.089
Falling Ashes,0.332,-13.698,0.0309,0.954,0.0784
Falling Asleep,0.537,-12.948,0.033,0.899,0.077
Falling Away from Me,0.468,-7.036,0.041,0.00014,0.271
Fantasy - R3HAB Remix,0.7,-3.853,0.0566,0.113,0.241
Fascination,0.491,-5.321,0.0349,0.000285,0.0761
Feeling This,0.411,-5.952,0.0917,0.103,0.529
Feels Like Flying,0.416,-13.776,0.0423,0.882,0.116
Feels Like We're Dying,0.579,-13.068,0.0329,0.73,0.0945
Fields After Rain,0.474,-20.952,0.043,0.973,0.113
Fields Of Blossom,0.42,-20.518,0.0815,0.98,0.0974
Fire in Cairo,0.587,-8.858,0.0268,0.379,0.332
Fix You,0.5,-13.209,0.0302,0.671,0.0827
Fleur février,0.428,-21.74,0.0548,0.985,0.11
Flex,0.609,-3.823,0.0486,0.017,0.44
Floating Sunbeams,0.205,-15.952,0.0427,0.98,0.128
Flowing,0.2,-20.417,0.0301,0.896,0.207
Fly - King Britt's Fhloston Paradigm Remix,0.614,-14.325,0.0466,0.521,0.136
Flying by Candlelight (ABGT300) - Above & Beyond Club Mix,0.532,-9.804,0.0603,0.000312,0.303
Focus,0.273,-17.727,0.053,0.238,0.133
Follow me,0.475,-29.839,0.0303,0.995,0.127
Found,0.517,-14.281,0.0289,0.901,0.11
Free,0.481,-4.17,0.064,0.0238,0.0971
Freya,0.64,-10.19,0.0379,0.000211,0.0748
Friday I'm In Love,0.526,-12.663,0.0341,0.00126,0.359
From Yesterday,0.467,-4.841,0.0693,0.00578,0.0453
Frozen,0.352,-27.226,0.0419,0.986,0.107
Fête sous les étoiles,0.312,-30.381,0.0389,0.994,0.1
Game Time (feat. Ninja),0.534,-4.025,0.0455,8.05E-05,0.266
Gasoline,0.478,-2.71,0.08,4.65E-05,0.061
Geno - 2000 Remaster,0.481,-8.722,0.0801,0.688,0.963
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,0.794,-8.966,0.038,0.0426,0.101
Get Up Offa That Thing,0.883,-10.395,0.411,0.225,0.941
Getting Away With Murder,0.544,-3.78,0.0532,0.000115,0.238
Ghostride,0.664,-9.426,0.0278,0.511,0.109
Glaciers,0.0789,-18.144,0.0362,0.733,0.0943
Go With The Flow,0.242,-3.9,0.0988,0.0148,0.833
Gone My Way - KhoMha Remix,0.547,-7.081,0.0683,0.00129,0.288
Good Times,0.87,-7.32,0.0522,0.149,0.053
Good Vibrations - Remastered,0.403,-6.888,0.0312,0.387,0.147
Goodbye,0.484,-13.976,0.0456,0.406,0.297
Goshen,0.284,-9.869,0.028,0.848,0.0966
"Gottes Zeit ist die allerbeste Zeit, BWV 106: 2a. Gottes Zeit, ist die allerbeste Zeit (Arr. For Piano Four Hands by György Kurtág)",0.566,-34.484,0.0445,0.995,0.0874
Goya,0.365,-21.678,0.0427,0.994,0.119
Gracewood (Revisited),0.353,-22.657,0.0408,0.969,0.106
Green Street,0.373,-24.099,0.0302,0.978,0.0737
Groove Is in the Heart,0.694,-4.053,0.0701,0.0153,0.0851
Groovin,0.845,-9.539,0.0567,0.0447,0.13
Guernica,0.382,-6.383,0.295,0.127,0.0915
Halfway There (feat. Lena Leon),0.59,-4.151,0.0797,0.000753,0.817
Handful Of Redemption,0.508,-3.684,0.0531,0.00022,0.0784
Happy Ending,0.635,-5.026,0.0262,0.0973,0.141
Happy Together,0.584,-9.638,0.0328,0.55,0.0818
Harvest Love,0.276,-9.078,0.0295,0.314,0.122
Hash Pipe,0.578,-6.354,0.044,0.000121,0.284
Heaven - David Guetta & MORTEN Remix,0.572,-5.053,0.0446,0.00292,0.105
Heavenly,0.539,-9.298,0.0249,0.617,0.11
Heavy,0.535,-6.519,0.0368,0.000919,0.0676
Here Comes The Sun - Remastered 2009,0.557,-10.484,0.0347,0.0339,0.179
Highway to Hell,0.574,-4.793,0.133,0.061,0.156
Holding On,0.421,-5.153,0.0697,0.000442,0.1
Hollowman,0.502,-4.588,0.0611,0.000214,0.306
Holy Water,0.587,-4.558,0.0407,0.0653,0.398
Home,0.544,-5.816,0.0679,0.00851,0.157
"Honey, This Mirror Isn't Big Enough for the Two of Us",0.383,-8.122,0.0789,0.000328,0.0537
Hoovela,0.341,-3.828,0.111,0.00123,0.4
How Bizarre,0.784,-7.718,0.049,0.261,0.293
How To Fight,0.404,-15.881,0.0472,0.702,0.171
Human Connection,0.6,-8.394,0.0311,0.0938,0.0542
Humans (Let Me Love You),0.584,-3.663,0.0584,0.21,0.126
Hunter,0.439,-8.251,0.028,0.316,0.0901
Hypnagogia Well,0.545,-17.953,0.033,0.771,0.108
I Can't Help (with Sarcastic Sounds),0.714,-8.264,0.0618,0.393,0.109
I Don't Know (feat. Samuel T. Herring),0.389,-8.114,0.0332,0.24,0.337
I Don't Trust That Bird of Prey,0.52,-14.38,0.0322,0.605,0.16
I Stand Alone,0.211,-4.468,0.0729,4.51E-05,0.1
I Took A Pill In Ibiza,0.636,-10.065,0.0718,0.618,0.125
I Was Made For Lovin' You,0.768,-6.215,0.038,0.213,0.0723
I Would Die 4 U,0.731,-10.457,0.0321,0.0862,0.202
I dine øjne,0.67,-12.553,0.0404,0.762,0.104
I'm Not Okay (I Promise),0.21,-3.427,0.123,0.00602,0.269
I'm Your Man,0.429,-7.615,0.0282,0.475,0.125
I've Been Fine,0.548,-6.215,0.039,0.13,0.0584
ID8,0.576,-4.251,0.0898,0.0198,0.683
If You Believe,0.575,-18.544,0.0444,0.937,0.103
If You Think It's Love,0.432,-7.977,0.0824,0.807,0.0864
Images,0.387,-21.823,0.0439,0.993,0.136
In This Moment,0.479,-19.689,0.0325,0.771,0.101
Indigo,0.503,-6.843,0.416,0.488,0.122
Infinite Sustain,0.529,-19.268,0.0315,0.8,0.109
Ingénue,0.283,-23.074,0.0285,0.993,0.0927
Inside Of You,0.435,-3.468,0.0392,0.000203,0.0876
Inside the Fire,0.463,-6.43,0.0704,0.000233,0.0906
Inside*,0.266,-33.729,0.0493,0.99,0.0933
Intermezzo No. 1 in E Minor,0.31,-25.408,0.0444,0.995,0.714
Into Black,0.705,-8.278,0.0258,0.463,0.123
Isonoe,0.365,-20.962,0.0405,0.983,0.112
It Takes Me Back,0.487,-11.608,0.0356,0.902,0.35
It's Goin' Down (feat. Mike Shinoda & Mr. Hahn),0.674,-3.953,0.274,0.00165,0.0465
It's My Fault,0.647,-10.123,0.0389,0.815,0.233
Jealous,0.435,-8.948,0.046,0.873,0.107
"John Wayne Gacy, Jr.",0.463,-14.852,0.0402,0.917,0.12
Juliens Journey,0.578,-24.126,0.0987,0.994,0.0799
Jupiter 4,0.475,-10.609,0.0303,0.0168,0.137
Just Can't Get Enough - Live in Hammersmith,0.653,-9.071,0.0409,0.0082,0.678
Just Look at You,0.558,-14.715,0.0303,0.985,0.103
Just the Two of Us (feat. Bill Withers),0.803,-9.303,0.0803,0.576,0.0763
K.,0.348,-10.918,0.0386,0.962,0.135
Kangaroo (Remastered),0.19,-11.298,0.0291,0.768,0.126
Kaolnite,0.247,-19.639,0.0328,0.622,0.0878
Keep Going,0.385,-12.044,0.0466,0.994,0.109
Kids In The Dark,0.47,-10.987,0.0307,0.524,0.0856
Killing In The Name,0.466,-4.215,0.304,0.0266,0.0327
Kinky Living,0.526,-9.728,0.0428,0.709,0.0993
Kinky Love,0.376,-18.291,0.0357,0.133,0.0643
Kiss,0.898,-12.238,0.091,0.0135,0.0461
Kiss On My List - Remastered,0.806,-4.47,0.0319,0.138,0.067
Kiss You All Over - Single Edit,0.696,-5.67,0.0538,0.0578,0.158
Kite,0.534,-26.071,0.0413,0.973,0.108
Klangfall - Piano Version,0.394,-25.987,0.0318,0.993,0.0964
La Luz,0.559,-13.862,0.0398,0.0463,0.115
Last Time,0.628,-5.195,0.0441,0.111,0.156
Late in the Evening,0.72,-8.988,0.0406,0.199,0.0865
Laugavegur,0.515,-12.688,0.0385,0.54,0.0916
Lay Your Head On Me (feat. Marcus Mumford),0.658,-7.002,0.0469,0.0471,0.0936
Let It Go,0.546,-10.396,0.0288,0.818,0.107
Let It Out,0.596,-12.481,0.0289,0.381,0.205
Let's Go Crazy,0.309,-6.399,0.125,0.0192,0.106
